error_rate,seed,optimal_cost,qaoa_cost,approx_ratio,final_expectation
0.0,0,0.013224999999999845,0.013224999999999845,1.0,-307.70921439025
0.0,1,0.004623999999999888,0.004623999999999888,1.0,-497.51897064039065
0.0,2,1.092025000000004,1.092025000000004,1.0,-323.16936409776633
0.0,3,0.4747210000000025,0.4747210000000025,1.0,-145.51811420449616
0.0,4,0.11560000000000126,0.11560000000000126,1.0,-251.6303303240131
0.005,0,0.013224999999999845,0.013224999999999845,1.0,-154.3096297556625
0.005,1,0.004623999999999888,0.004623999999999888,1.0,-159.20203037292188
0.005,2,1.092025000000004,1.092025000000004,1.0,-102.46769900786754
0.005,3,0.4747210000000025,0.4747210000000025,1.0,-148.4004124791259
0.005,4,0.11560000000000126,0.11560000000000126,1.0,-47.51506976618844
0.01,0,0.013224999999999845,0.013224999999999845,1.0,-63.00411907320068
0.01,1,0.004623999999999888,0.004623999999999888,1.0,-140.7710595563236
0.01,2,1.092025000000004,1.092025000000004,1.0,-83.93522637762851
0.01,3,0.4747210000000025,0.4747210000000025,1.0,-102.16636713072519
0.01,4,0.11560000000000126,0.11560000000000126,1.0,-48.545012844533424
0.02,0,0.013224999999999845,0.013224999999999845,1.0,-29.553814337258533
0.02,1,0.004623999999999888,0.004623999999999888,1.0,-31.158681652662025
0.02,2,1.092025000000004,1.092025000000004,1.0,-16.55969447263924
0.02,3,0.4747210000000025,0.4747210000000025,1.0,-26.371249644462686
0.02,4,0.11560000000000126,0.11560000000000126,1.0,-35.51006365938314
0.05,0,0.013224999999999845,0.013224999999999845,1.0,-0.4816034376143332
0.05,1,0.004623999999999888,0.004623999999999888,1.0,-2.566966111765793
0.05,2,1.092025000000004,1.092025000000004,1.0,-1.524961697734949
0.05,3,0.4747210000000025,0.4747210000000025,1.0,-2.691892092892389
0.05,4,0.11560000000000126,0.11560000000000126,1.0,-0.7275890984408915
